,Country/Territory,Region,IMF_estimate,IMF_year,United_Nations_estimate,United_Nations_year,World_Bank_estimate,World_Bank_year
0,United States,Americas,"22,675,271",2021,"21,433,226",2019,"20,936,600","2020
"
1,China,Asia,"16,642,318",[n 2]2021,"14,342,933",[n 3]2019,"14,722,731","2020
"
2,Japan,Asia,"5,378,136",2021,"5,082,465",2019,"4,975,415","2020
"
3,Germany,Europe,"4,319,286",2021,"3,861,123",2019,"3,806,060","2020
"
4,United Kingdom,Europe,"3,124,650",2021,"2,826,441",2019,"2,707,744","2020
"
5,India,Asia,"3,049,704",2021,"2,891,582",2019,"2,622,984","2020
"
6,France,Europe,"2,938,271",2021,"2,715,518",2019,"2,603,004","2020
"
7,Italy,Europe,"2,106,287",2021,"2,003,576",2019,"1,886,445","2020
"
8,Canada,Americas,"1,883,487",2021,"1,741,496",2019,"1,643,408","2020
"
9,South Korea,Asia,"1,806,707",2021,"1,646,539",2019,"1,630,525","2020
"
10,Russia,Europe,"1,710,734",2021,"1,692,930",2019,"1,483,498","2020
"
11,Australia,Oceania,"1,617,543",2021,"1,380,207",2019,"1,330,901","2020
"
12,Brazil,Americas,"1,491,772",2021,"1,847,795",2019,"1,444,733","2020
"
13,Spain,Europe,"1,461,552",2021,"1,393,490",2019,"1,281,199","2020
"
14,Mexico,Americas,"1,192,480",2021,"1,256,440",2019,"1,076,163","2020
"
15,Indonesia,Asia,"1,158,783",2021,"1,119,190",2019,"1,058,424","2020
"
16,Netherlands,Europe,"1,012,598",2021,"907,050",2019,"912,242","2020
"
17,Switzerland,Europe,"824,734",2021,"731,425",2019,"747,969","2020
"
18,Saudi Arabia,Asia,"804,921",2021,"792,966",2019,"700,118","2020
"
19,Turkey,Asia,"794,530",2021,"761,425",2019,"720,101","2020
"
20,Taiwan,Asia,"759,104",[n 4]2021,"669,034",2019,"668,500","2020
"
21,Poland,Europe,"642,121",2021,"595,862",2019,"594,165","2020
"
22,Sweden,Europe,"625,948",2021,"530,883",2019,"537,610","2020
"
23,Belgium,Europe,"578,996",2021,"533,097",2019,"515,333","2020
"
24,Thailand,Asia,"538,735",2021,"542,016",2019,"501,795","2020
"
25,Iran,Asia,"682,859",2021,"603,779",2019,"191,718","2020
"
26,Nigeria,Africa,"514,049",2021,"474,516",2019,"432,294","2020
"
27,Austria,Europe,"481,796",2021,"445,075",2019,"428,965","2020
"
28,Ireland,Europe,"476,663",2021,"398,590",2019,"418,622","2020
"
29,Israel,Asia,"446,708",2021,"395,098",2019,"401,954","2020
"
30,Norway,Europe,"444,519",2021,"403,336",2019,"362,009","2020
"
31,Argentina,Americas,"418,150",2021,"449,663",2019,"383,067","2020
"
32,Bangladesh,Asia,"409,584",[15] 2021,"317,465",2019,"324,239","2020
"
33,Philippines,Asia,"402,638",2021,"359,354",2019,"361,489","2020
"
34,United Arab Emirates,Asia,"401,513",2021,"421,142",2019,"421,142","2020
"
35,Egypt,Africa,"394,284",2021,"317,359",2019,"363,069","2020
"
36,Denmark,Europe,"392,570",2021,"350,104",2019,"355,184","2020
"
37,Malaysia,Asia,"387,093",2021,"364,684",2019,"336,664","2020
"
38,Singapore,Asia,"374,394",2021,"372,073",2019,"339,998","2020
"
39,Hong Kong,Asia,"368,633",[n 5]2021,"365,710",2019,"346,586","2020
"
40,Vietnam,Asia,"354,868",2021,"261,921",2019,"271,158","2020
"
41,South Africa,Africa,"329,529",2021,"351,430",2019,"301,924","2020
"
42,Chile,Americas,"307,938",2021,"282,318",2019,"252,940","2020
"
43,Finland,Europe,"300,484",2021,"269,296",2019,"271,234","2020
"
44,Colombia,Americas,"295,610",2021,"323,802",2019,"271,347","2020
"
45,Pakistan,Asia,"286,340",2021,"263,000",2019,"263,687","2020
"
46,Romania,Europe,"289,130",2021,"250,075",2019,"248,716","2020
"
47,Czech Republic,Europe,"276,109",2021,"250,680",2019,"243,530","2020
"
48,Portugal,Europe,"257,391",2021,"238,785",2019,"231,256","2020
"
49,New Zealand,Oceania,"243,332",2021,"206,936",2019,"212,482","2020
"
50,Peru,Americas,"225,918",2021,"226,850",2019,"202,014","2020
"
51,Greece,Europe,"209,857",2021,"205,326",2019,"189,410","2020
"
52,Iraq,Asia,"190,733",2021,"225,232",2019,"167,224","2020
"
53,Kazakhstan,Asia,"187,836",2021,"181,667",2019,"169,835","2020
"
54,Qatar,Asia,"166,031",2021,"183,466",2019,"146,374","2020
"
55,Hungary,Europe,"176,543",2021,"163,469",2019,"155,013","2020
"
56,Ukraine,Europe,"164,593",[n 6]2021,"153,781",[n 6]2019,"155,582","2020
"
57,Algeria,Africa,"151,459",2021,"171,157",2019,"145,164","2020
"
58,Kuwait,Asia,"126,930",2021,"134,623",2019,"136,197","2019
"
59,Morocco,Africa,"124,003",2021,"119,700",[n 7]2019,"112,871","2020
"
60,Slovakia,Europe,"117,664",2021,"105,079",2019,"104,574","2020
"
61,Cuba,Americas,N/A,N/A,"105,355",2019,"103,131","2019
"
62,Puerto Rico,Americas,"100,684",2021,"104,988",2019,"103,138","2020
"
63,Ecuador,Americas,"100,595",2021,"107,435",2019,"98,808","2020
"
64,Kenya,Africa,"106,041",2021,"95,501",2019,"98,843","2020
"
65,Ethiopia,Africa,"93,966",2021,"92,750",2019,"107,645","2020
"
66,Sri Lanka,Asia,"84,532",2021,"84,008",2019,"80,707","2020
"
67,Dominican Republic,Americas,"83,917",2021,"88,941",2019,"78,845","2020
"
68,Guatemala,Americas,"81,402",2021,"76,710",2019,"77,605","2020
"
69,Myanmar,Asia,"76,195",2021,"76,784",2019,"76,186","2020
"
70,Oman,Asia,"74,115",2021,"76,331",2019,"76,332","2019
"
71,Luxembourg,Europe,"84,077",2021,"71,104",2019,"73,264","2020
"
72,Bulgaria,Europe,"77,782",2021,"67,925",2019,"69,105","2020
"
73,Angola,Africa,"66,493",2021,"85,000",2019,"62,307","2020
"
74,Ghana,Africa,"74,260",2021,"66,999",2019,"72,354","2020
"
75,Panama,Americas,"59,377",2021,"66,787",2019,"52,938","2020
"
76,Tanzania,Africa,"65,919",2021,"61,136",[n 8]2019,"62,410","2020
"
77,Ivory Coast,Africa,"70,991",2021,"58,539",2019,"61,349","2020
"
78,Costa Rica,Americas,"61,178",2021,"61,773",2019,"61,521","2020
"
79,Belarus,Europe,"60,725",2021,"63,080",2019,"60,258","2020
"
80,Croatia,Europe,"65,217",2021,"60,415",2019,"55,967","2020
"
81,Uzbekistan,Asia,"61,203",2021,"57,921",2019,"57,707","2020
"
82,Lithuania,Europe,"62,198",2021,"54,627",2019,"55,887","2020
"
83,Slovenia,Europe,"59,132",2021,"54,174",2019,"52,880","2020
"
84,Uruguay,Americas,"55,459",2021,"56,045",2019,"53,629","2020
"
85,Serbia,Europe,"60,435",2021,"51,475",2019,"52,960","2020
"
86,DR Congo,Africa,"55,088",2021,"47,319",2019,"49,869","2020
"
87,Venezuela,Americas,"42,530",2021,"134,960",2019,"482,359","2014
"
88,Macau,Asia,"39,449",[n 9]2021,"53,859",2019,"55,154","2019
"
89,Turkmenistan,Asia,"54,218",2021,"48,276",2019,"45,231","2019
"
90,Azerbaijan,Asia,"49,914",2021,"48,047",2019,"42,607","2020
"
91,Jordan,Asia,"44,979",2021,"44,502",2019,"43,698","2020
"
92,Lebanon,Asia,"19,126",2020,"56,409",2019,"33,383","2020
"
93,Bolivia,Americas,"43,110",2021,"40,895",2019,"36,689","2020
"
